AUDITUSER,AUDITTIMESTAMP,EGROUPID,USERID,ACCESSLEVEL
OPSSYS_BD,"2024-02-19 14:00:00.593",2,361,2
OPSSYS_BD,"2024-02-19 14:00:00.593",3,361,2
OPSSYS_BD,"2024-02-19 14:00:00.597",1,137,2
OPSSYS_BD,"2024-02-19 14:00:00.597",2,137,2
OPSSYS_BD,"2024-02-19 14:00:00.600",3,137,2
OPSSYS_BD,"2024-02-19 14:00:00.600",1,139,2
OPSSYS_BD,"2024-02-19 14:00:00.600",2,139,2
OPSSYS_BD,"2024-02-19 14:00:00.603",3,139,2
OPSSYS_BD,"2024-02-19 14:00:00.603",1,140,2
OPSSYS_BD,"2024-02-19 14:00:00.607",2,140,2
OPSSYS_BD,"2024-02-19 14:00:00.607",3,140,2
OPSSYS_BD,"2024-02-19 14:00:00.613",1,141,2
OPSSYS_BD,"2024-02-19 14:00:00.617",2,141,2
OPSSYS_BD,"2024-02-19 14:00:00.617",3,141,2
OPSSYS_BD,"2024-02-19 14:00:00.620",1,144,2
OPSSYS_BD,"2024-02-19 14:00:00.620",2,144,2
OPSSYS_BD,"2024-02-19 14:00:00.620",3,144,2
OPSSYS_BD,"2024-02-19 14:00:00.620",1,158,2
OPSSYS_BD,"2024-02-19 14:00:00.623",2,158,2
OPSSYS_BD,"2024-02-19 14:00:00.623",3,158,2
OPSSYS_BD,"2024-02-19 14:00:00.627",1,168,2
OPSSYS_BD,"2024-02-19 14:00:00.627",2,168,2
OPSSYS_BD,"2024-02-19 14:00:00.630",3,168,2
OPSSYS_BD,"2024-02-19 14:00:00.630",1,145,2
OPSSYS_BD,"2024-02-19 14:00:00.630",2,145,2
OPSSYS_BD,"2024-02-19 14:00:00.633",3,145,2
OPSSYS_BD,"2024-02-19 14:00:00.633",1,146,2
OPSSYS_BD,"2024-02-19 14:00:00.637",2,146,2
OPSSYS_BD,"2024-02-19 14:00:00.637",3,146,2
OPSSYS_BD,"2024-02-19 14:00:00.640",1,283,2
OPSSYS_BD,"2024-02-19 14:00:00.640",2,283,2
OPSSYS_BD,"2024-02-19 14:00:00.643",3,283,2
OPSSYS_BD,"2024-02-19 14:00:00.643",1,310,2
OPSSYS_BD,"2024-02-19 14:00:00.647",2,310,2
OPSSYS_BD,"2024-02-19 14:00:00.647",3,310,2
OPSSYS_BD,"2024-02-19 14:00:00.650",1,316,2
OPSSYS_BD,"2024-02-19 14:00:00.650",2,316,2
OPSSYS_BD,"2024-02-19 14:00:00.650",3,316,2
OPSSYS_BD,"2024-02-19 14:00:00.650",1,319,2
OPSSYS_BD,"2024-02-19 14:00:00.653",2,319,2
OPSSYS_BD,"2024-02-19 14:00:00.653",3,319,2
OPSSYS_BD,"2024-02-19 14:00:00.657",1,178,2
OPSSYS_BD,"2024-02-19 14:00:00.657",2,178,2
OPSSYS_BD,"2024-02-19 14:00:00.660",3,178,2
OPSSYS_BD,"2024-02-19 14:00:00.660",1,180,2
OPSSYS_BD,"2024-02-19 14:00:00.660",2,180,2
OPSSYS_BD,"2024-02-19 14:00:00.663",3,180,2
OPSSYS_BD,"2024-02-19 14:00:00.663",1,181,2
OPSSYS_BD,"2024-02-19 14:00:00.663",2,181,2
OPSSYS_BD,"2024-02-19 14:00:00.667",3,181,2
OPSSYS_BD,"2024-02-19 14:00:00.667",1,196,2
OPSSYS_BD,"2024-02-19 14:00:00.670",2,196,2
OPSSYS_BD,"2024-02-19 14:00:00.670",3,196,2
OPSSYS_BD,"2024-02-19 14:00:00.670",1,200,2
OPSSYS_BD,"2024-02-19 14:00:00.673",2,200,2
OPSSYS_BD,"2024-02-19 14:00:00.673",3,200,2
OPSSYS_BD,"2024-02-19 14:00:00.673",1,201,2
OPSSYS_BD,"2024-02-19 14:00:00.677",2,201,2
