AUDITUSER,AUDITTIMESTAMP,ID,VARORDER,VARID,COLWIDTH,HDRBACKCOLOR,HDRFORECOLOR,COLBACKCOLOR,COLFORECOLOR,COLTYPE,FACILITYFILENAME
NULL,NULL,29,16,-9999,4.0,16777215,0,NULL,NULL,NULL,NULL
NULL,NULL,29,17,4,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,29,18,5,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,29,19,3,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,29,20,2,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,29,21,-9999,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,29,22,142,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,29,23,156,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,29,24,186,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,72,43,1331,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,44,1332,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,45,1333,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,46,1334,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,47,1335,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,48,1336,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,49,1337,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,50,1338,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,51,1339,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,52,1340,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,23,0,0,5.0,-1,0,NULL,NULL,NULL,NULL
NULL,NULL,64,-1000,-1000,21.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,64,-999,-999,21.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,64,-998,-998,10.5,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,64,-997,-997,10.5,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,64,0,0,5.0,-1,0,NULL,NULL,NULL,NULL
NULL,NULL,64,1,94,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,64,2,-9999,4.0,NULL,NULL,NULL,NULL,"",NULL
NULL,NULL,64,3,81,16.125,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,64,4,161,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,64,5,197,14.25,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,64,6,198,15.5,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,64,7,199,14.75,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,64,8,-9999,4.0,NULL,NULL,NULL,NULL,"",NULL
NULL,NULL,64,9,83,17.125,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,64,10,162,18.625,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,64,11,204,15.625,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,64,12,205,17.875,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,64,13,206,17.875,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,64,14,-9999,4.0,NULL,NULL,NULL,NULL,"",NULL
NULL,NULL,64,15,28,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,64,16,159,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,23,1,15,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,23,2,16,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,23,3,179,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,23,4,181,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,23,5,180,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,23,6,-9999,4.0,NULL,NULL,NULL,NULL,"",NULL
NULL,NULL,23,7,177,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,23,8,174,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,23,9,-9999,4.0,16777215,0,NULL,NULL,"",NULL
NULL,NULL,23,10,-9999,4.0,16777215,0,NULL,NULL,"",NULL
NULL,NULL,23,11,160,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,23,12,18,11.0,NULL,NULL,NULL,NULL,Variable,NULL
NULL,NULL,23,13,20,11.0,NULL,NULL,NULL,NULL,Variable,NULL
